Modelo,Accuracy (%),Precision,Recall,F1-Score,AUC-ROC
KNN (K=1),46.4,0.4862,0.4046,0.4417,0.467
Red Neuronal (Sigmoide 32-16),52.4,0.524,1.0,0.6877,0.5506
